feature,importance
value_for_money,19.806157945037075
player_quality_score,4.521988708834853
estimated_contract_value,0.8628832990788362
avg_rating,0.67672756277725
availability_score,0.5882288923242645
contract_years_remaining,0.5495207304991601
goal_contribution,0.3031239536957014
games_missed_due_injury,0.14939560608751104
experience_score,0.10833885444472786
assists_per_game,0.07949342910032184
age,0.05951406640075053
total_yellow_cards,0.0541896638804756
sentiment_score,0.05229022098952584
negative_ratio,0.05110980918486408
neutral_ratio,0.04865246885307083
